Date,Open,High,Low,Close,Adj Close,Volume,Sector,Ticker,log_return,daily_return,volatility,momentum,Direction,MA_50,MA_100,MA_200
2020-10-27,32.5,32.70000076293945,32.119998931884766,32.21500015258789,32.21500015258789,34111.0,Agriculture,JO,-0.0041787205389346655,-0.0041700018348338475,0.010939328654001736,-0.031419068601358235,0,34.020757904052736,35.05116897583008,33.74579919338226
2020-10-28,31.850000381469727,32.089900970458984,31.600000381469727,31.65999984741211,31.65999984741211,41669.0,Agriculture,JO,-0.01737813769386713,-0.01722800877066566,0.011270319427846728,-0.05492537768919081,0,33.86295791625977,35.06266897201538,33.71566869258881
2020-10-29,31.25,31.64999961853028,31.07999992370605,31.479999542236328,31.479999542236328,65617.0,Agriculture,JO,-0.005701640625496784,-0.005685417120761427,0.011160735511325275,-0.06434836932890464,0,33.72235794067383,35.0642689704895,33.6842911863327
2020-10-30,31.479999542236328,31.8700008392334,31.370100021362305,31.51000022888184,31.51000022888184,26243.0,Agriculture,JO,0.0009525540251776955,0.0009530078488488858,0.011173147514920276,-0.05743344477315726,1,33.568357963562015,35.04846897125244,33.65271667957306
2020-10-31,31.519999821980793,31.780000686645508,31.21133359273275,31.32333374023438,31.32333374023438,37963.666666666664,Agriculture,JO,-0.005941656315754161,-0.005924039583991014,0.011165266503880517,-0.05695217232164085,0,33.40242465972901,35.03150230407715,33.62353334903717
2020-11-01,31.56000010172526,31.690000534057617,31.052567164103195,31.136667251586914,31.136667251586914,49684.33333333333,Agriculture,JO,-0.0059771707149888584,-0.005959342967625902,0.011157126490050174,-0.05646462873979052,0,33.246958026885984,35.00896898269653,33.59047318935394
2020-11-02,31.600000381469727,31.600000381469727,30.89380073547364,30.950000762939453,30.950000762939453,61405.0,Agriculture,JO,-0.006013112220910262,-0.00599506964374763,0.010899867090647837,-0.06917290938527965,0,33.10195806503296,34.98210232416789,33.556773200035096
2020-11-03,31.6200008392334,32.08140182495117,31.209999084472656,31.299999237060547,31.299999237060547,77463.0,Agriculture,JO,0.011245049389730685,0.011308512616910571,0.01138151370600349,-0.05380902344216676,1,32.97815807342529,34.9562689781189,33.52807319164276
2020-11-04,31.3799991607666,31.38999938964844,30.90999984741211,31.26000022888184,31.26000022888184,53905.0,Agriculture,JO,-0.0012787408558383988,-0.0012779236151336804,0.011355527358427512,-0.055874368691232745,0,32.86775810241699,34.927568969726565,33.50090652306875
2020-11-05,31.700000762939453,32.30899810791016,31.569000244140625,32.20000076293945,32.20000076293945,132212.0,Agriculture,JO,0.029627143928927718,0.03007039434341152,0.011817266991958408,0.0018668753712030028,1,32.7887580871582,34.91286899566651,33.48017319202423
2020-11-06,32.36000061035156,32.52000045776367,32.08380126953125,32.45000076293945,32.45000076293945,86082.0,Agriculture,JO,0.0077339904171957585,0.007763974971321641,0.011938540665987069,0.009696636628652167,1,32.72495811462402,34.891369018554684,33.46242319583893
2020-11-07,32.413333892822266,32.52000045776367,32.10830052693685,32.40000025431315,32.40000025431315,80100.66666666667,Agriculture,JO,-0.0015420360138750165,-0.0015408476872336152,0.011947131775686542,0.008192065984430341,0,32.66815812428793,34.860119024912514,33.44912319024404
2020-11-08,32.46666717529297,32.52000045776367,32.132799784342446,32.34999974568685,32.34999974568685,74119.33333333333,Agriculture,JO,-0.0015444175618482445,-0.0015432255627726432,0.011955248336428248,0.006687342454548384,0,32.6183581161499,34.81911901473999,33.43487318515778
2020-11-09,32.52000045776367,32.52000045776367,32.15729904174805,32.29999923706055,32.29999923706055,68138.0,Agriculture,JO,-0.0015468064774126235,-0.0015456107888524029,0.011490824230256203,0.019248933187847594,0,32.57555809020996,34.77955233891805,33.419873185157776
2020-11-10,32.22999954223633,32.59000015258789,31.99139976501465,32.54999923706055,32.54999923706055,37966.0,Agriculture,JO,0.007710138607383756,0.007739938263315871,0.011178061343578913,0.03927201641830136,1,32.54575805664062,34.74441900253296,33.41507318973541
2020-11-11,33.02000045776367,33.29999923706055,32.921199798583984,33.029998779296875,33.029998779296875,69283.0,Agriculture,JO,0.014638857229713522,0.014746530061045648,0.01004272441642101,0.027119213864861935,1,32.54095802307129,34.71601900100708,33.41293985843659
2020-11-12,33.0,33.400001525878906,32.898399353027344,33.29100036621094,33.29100036621094,37499.0,Agriculture,JO,0.007870898741543264,0.007901955693611962,0.009904318715912045,0.043277985753761294,1,32.540177993774414,34.67842901229859,33.41237820148468
2020-11-13,33.25,33.36000061035156,33.029998779296875,33.13999938964844,33.13999938964844,30471.0,Agriculture,JO,-0.004546107605785677,-0.004535789699962267,0.009996513293995908,0.033795389372036855,0,32.53117797851562,34.63512899398804,33.411328206062315
2020-11-14,33.635000228881836,33.827500343322754,33.4625244140625,33.64999961853027,33.64999961853027,40597.25,Agriculture,JO,0.015272051173291673,0.015389264884571485,0.010442167965191484,0.044925054131816244,1,32.512777976989746,34.610828971862794,33.410128207206725
2020-11-15,34.02000045776367,34.295000076293945,33.895050048828125,34.15999984741211,34.15999984741211,50723.5,Agriculture,JO,0.015042319699169715,0.015156024804261481,0.010827243342242145,0.05595382350596645,1,32.515711301167805,34.60022895812988,33.41527820110321
2020-11-16,34.40500068664551,34.76249980926514,34.32757568359375,34.670000076293945,34.670000076293945,60849.75,Agriculture,JO,0.014819397443996934,0.01492974915573586,0.011022422509641056,0.07620673326331917,1,32.539977951049806,34.59756228764852,33.421145710945126
2020-11-17,34.790000915527344,35.22999954223633,34.760101318359375,35.18000030517578,35.18000030517578,70976.0,Agriculture,JO,0.014602986086599998,0.014710130595890991,0.010100309482240074,0.11118131632118122,1,32.58557792663574,34.6028289604187,33.428979706764224
2020-11-18,35.959999084472656,36.5,35.810001373291016,36.09999847412109,36.09999847412109,176831.0,Agriculture,JO,0.025815075086612942,0.026151170010363822,0.010759607694448484,0.1467598157263681,1,32.6448779296875,34.62012895584107,33.44113569736481
2020-11-19,36.11000061035156,36.54990005493164,35.86000061035156,36.27000045776367,36.27000045776367,59303.0,Agriculture,JO,0.004698142845090518,0.0047091964218350935,0.010682386127090663,0.15106316072060366,1,32.69927795410156,34.6423289680481,33.453863701820374
2020-11-20,35.95000076293945,36.0,34.38800048828125,34.63999938964844,34.63999938964844,117036.0,Agriculture,JO,-0.045981899841425554,-0.04494075124188013,0.015613165806122454,0.10588482301785929,0,32.74667793273926,34.644829959869384,33.458163704872135
2020-11-21,35.583333333333336,35.71399943033854,34.2859001159668,34.47333272298177,34.47333272298177,105011.66666666667,Agriculture,JO,-0.0048230054794545394,-0.004811393464298708,0.015572186066769493,0.10716193369169269,0,32.77344462076823,34.63336329778035,33.45708737532298
2020-11-22,35.21666590372721,35.427998860677086,34.183799743652344,34.3066660563151,34.3066660563151,92987.33333333333,Agriculture,JO,-0.004846379640545763,-0.004834654891244794,0.015530308511337498,0.10845444945497484,0,32.799711303710936,34.62312994003296,33.45655670642853
2020-11-23,34.849998474121094,35.141998291015625,34.08169937133789,34.13999938964844,34.13999938964844,80963.0,Agriculture,JO,-0.00486998146599247,-0.004858142332836324,0.015620337347708808,0.09073483136782978,0,32.82547798156738,34.61132992426555,33.45530670642853
2020-11-24,34.15999984741211,34.654998779296875,34.09000015258789,34.366798400878906,34.366798400878906,58449.0,Agriculture,JO,0.006621236056317505,0.006643204899975386,0.015567284636822495,0.09938573734003442,1,32.85861396789551,34.60189790725708,33.451190705299375
2020-11-25,34.810001373291016,34.849998474121094,34.20000076293945,34.599998474121094,34.599998474121094,56066.0,Agriculture,JO,0.006762702418420867,0.006785621125423802,0.014410772872506647,0.07453408864337407,1,32.896613922119144,34.59489789962768,33.44955736637115
2020-11-26,35.40500068664551,35.764949798583984,34.99749946594238,35.599998474121094,35.599998474121094,79914.0,Agriculture,JO,0.028491957033085585,0.0289017353786285,0.015461282541137503,0.09707234629033334,1,32.9434139251709,34.58609788894653,33.45424068927765
2020-11-27,36.0,36.67990112304688,35.79499816894531,36.59999847412109,36.59999847412109,103762.0,Agriculture,JO,0.027702603720422093,0.02808988884443142,0.01622667377057687,0.12962957366794536,1,33.00541389465332,34.59369787216187,33.46524067401886
2020-11-28,36.050000508626304,36.60660044352214,35.709999084472656,36.5033327738444,36.5033327738444,108944.33333333333,Agriculture,JO,-0.0026446334241452887,-0.0026411394619330064,0.016256218234574286,0.12838742073595544,0,33.062580540974935,34.59893120447794,33.47985833962758
2020-11-29,36.1000010172526,36.5332997639974,35.625,36.406667073567704,36.406667073567704,114126.66666666667,Agriculture,JO,-0.0026516460600429143,-0.0026481335519576987,0.016285653487330406,0.1271414220900422,0,33.12211387634277,34.60229787826538,33.49684168338776
2020-11-30,36.150001525878906,36.459999084472656,35.540000915527344,36.310001373291016,36.310001373291016,119309.0,Agriculture,JO,-0.002658695984917731,-0.0026551647829050617,0.01639704045939534,0.1155146612706961,0,33.18401390075684,34.60429789861043,33.509591698646545
2020-12-01,36.13999938964844,36.13999938964844,34.709999084472656,34.849998474121094,34.849998474121094,112728.0,Agriculture,JO,-0.041040129825187774,-0.04020938705455057,0.01915761412259871,0.05510141574588823,0,33.22101387023926,34.59129789352417,33.514906697273254
2020-12-02,34.84000015258789,35.220001220703125,34.5,35.150001525878906,35.150001525878906,69329.0,Agriculture,JO,0.008571568244823004,0.008608409322617083,0.0191680449250226,0.055840952185828074,1,33.259013900756834,34.58089792251587,33.52165003935497
2020-12-03,35.209999084472656,35.31999969482422,34.89500045776367,35.130001068115234,35.130001068115234,48514.0,Agriculture,JO,-0.0005691649847863377,-0.0005690030411220626,0.01910751448641641,0.060048331777833086,0,33.300013885498046,34.557996921539306,33.52822170734405
2020-12-04,35.0,35.145999908447266,34.46009826660156,34.54999923706055,34.54999923706055,61031.0,Agriculture,JO,-0.01664796855088698,-0.01651015694335145,0.019357034348410355,0.026745902785528353,0,33.32881385803223,34.53575693130493,33.53182169437409
2020-12-05,34.84999974568685,35.1456667582194,34.47506586710612,34.679999033610024,34.679999033610024,52446.666666666664,Agriculture,JO,0.003755595914929693,0.0037626570020306005,0.019099946494623366,0.015222458680347772,1,33.37961385091146,34.512756926218664,33.53577169259389
2020-12-06,34.699999491373696,35.14533360799154,34.49003346761068,34.80999883015951,34.80999883015951,43862.33333333333,Agriculture,JO,0.0037415441704734503,0.0037485524847764573,0.01883036033962413,0.004038037310570619,1,33.43304649353027,34.47990690231323,33.54082169055939
2020-12-07,34.54999923706055,35.14500045776367,34.505001068115234,34.939998626708984,34.939998626708984,35278.0,Agriculture,JO,0.003727597184746851,0.00373455331566519,0.01854831595717196,-0.006822105639137432,1,33.489111785888674,34.44444021224976,33.54947168827057
2020-12-08,35.09000015258789,35.599998474121094,34.849998474121094,35.03990173339844,35.03990173339844,83637.0,Agriculture,JO,0.0028551962504684723,0.0028592762053827325,0.017510409611185027,-0.029365561926064876,1,33.547207794189454,34.40605588912964,33.56067120075226
2020-12-09,34.66999816894531,34.68840026855469,34.15999984741211,34.33000183105469,34.33000183105469,65795.0,Agriculture,JO,-0.020467800845645694,-0.02025975722606277,0.017941101712980096,-0.0534876923690174,0,33.60000782012939,34.35665590286255,33.567887210845946
